Year,Male,Female
1970,19.37,13.61
1971,19.87,13.97
1972,20.85,14.76
1973,21.67,15.64
1974,22.62,16.57
1975,23.84,17.70
1976,25.25,18.78
1977,25.52,19.59
1978,26.40,20.55
1979,27.08,21.28
1980,27.95,22.14
1981,29.24,23.22
1982,30.12,24.25
1983,31.30,25.21
1984,32.83,26.53
1985,33.60,27.32
1986,34.20,27.64
1987,35.07,28.47
1988,35.09,29.08
1989,35.83,30.06
1990,36.60,31.31
1991,37.37,32.32
1992,37.93,33.47
1993,38.91,34.80
1994,40.40,36.29
1995,41.85,38.12
1996,43.29,39.53
1997,45.06,41.73
1998,45.98,43.01
1999,48.65,46.18
2000,51.03,48.69
2001,54.52,52.19
2002,58.97,57.83
2003,63.21,62.10
2004,66.47,65.96
2005,69.54,69.73
2006,72.86,74.07
2007,76.88,78.40
2008,81.15,82.99
2009,85.08,87.08
2010,89.71,91.71
2011,94.58,96.47
2012,96.74,100.18
2013,97.39,101.58
2014,102.87,107.86